,MN-64,Venetoclax,AGI-5198,AZD3759,NVP-ADW742,P22077,WEHI-539,Foretinib,Rapamycin,PRIMA-1MET,Talazoparib,Trametinib,Luminespib,CZC24832,PFI3,Wnt-C59,OTX015,GSK343,AGI-6780,Uprosertib,Methotrexate,Olaparib,Bosutinib,Axitinib,CCT-018159,Afuresertib,Osimertinib,Savolitinib,Pyridostatin,Vinorelbine,ZM447439,AZD8055,Crizotinib,Temozolomide,LCL161,OSI-027,Ibrutinib,Docetaxel,Vorinostat,Temsirolimus,Bicalutamide,OF-1,Cediranib,Telomerase Inhibitor IX,UMI-77,Sepantronium bromide,MIM1,Avagacestat,5-Fluorouracil,Niraparib,BMS-345541,XAV939,Sapitinib,Taselisib,NU7441,SGC0946,Camptothecin,Vinblastine,Gefitinib,GW441756,SB216763,Motesanib,Daporinad,Elesclomol,Tozasertib,ABT737,GNE-317,WIKI4,AMG-319,Pictilisib,EHT-1864,Sorafenib,Oxaliplatin,GSK1904529A,Serdemetan,Erlotinib,MK-1775,Gemcitabine,YK-4-279,Bleomycin (50 uM),Vismodegib,JNK Inhibitor VIII,AZD7762,AZD6482,IOX2,BX795,SB505124,Obatoclax Mesylate,Dinaciclib,Fulvestrant,AZ960,Alpelisib,Wee1 Inhibitor,PRT062607,Ribociclib,Picolinici-acid,GSK591,VE821,JQ1,GSK2830371,Navitoclax,Refametinib,Lestaurtinib,CHIR-99021,Piperlongumine,Sabutoclax,GSK2578215A,MK-8776,Alisertib,Dactolisib,SB590885,Selumetinib,BMS-536924,Rucaparib,Bortezomib,EPZ004777,Dabrafenib,Pevonedistat,PLX-4720,LGK974,VE-822,GSK2606414,ML323,PFI-1,Nilotinib,Afatinib,TW 37,Tretinoin,SL0101,LY2109761,MG-132,AZD8186,Ipatasertib,GDC0810,BIBR-1532,Nutlin-3a (-),CCT007093,Tamoxifen,Cyclophosphamide,Lapatinib,AZD5582,I-BET-762,AZ6102,Cisplatin,Cytarabine,Veliparib,Lenalidomide,Tanespimycin,KRAS (G12C) Inhibitor-12,AZD6738,I-BRD9,MIRA-1,PD173074,RO-3306,MK-2206,Palbociclib,PD0325901,Dasatinib,Paclitaxel,BI-2536,Irinotecan,SN-38,Ruxolitinib,Linsitinib,Epirubicin,Doramapimod,EPZ5676,SCH772984,IWP-2,Leflunomide,Entinostat,WZ4003,PCI-34051,RVX-208,Entospletinib,AZD4547,VX-11e,LJI308,KU-55933,PF-4708671,GSK269962A
WM-115,4.3922133,4.059464,6.191744,3.8686721,4.5285897,6.3235254,5.5555882,1.6573982,-3.1123075,3.7599304,3.9994051,-1.744982,-2.9745283,5.7862453,6.1139846,5.746332,2.0259123,4.3409834,4.6689777,1.8779984,2.8979323,4.6484156,4.307168,4.6737065,,2.752311,3.081701,2.6863437,3.7682037,-2.3872638,4.9246974,-0.5274106,3.439481,7.6317267,5.284718,0.69700587,5.624845,-2.1155212,3.0605822,-0.30211827,,5.5927925,2.5878499,0.5335357,2.1327355,-3.4783876,5.6399517,5.014779,5.665052,4.8599615,6.0738654,5.411651,6.358014,1.7299118,2.3524287,2.124071,-1.2720383,-1.698931,4.5794773,4.384343,5.863487,6.4455204,-1.2992412,,,2.6043632,0.8149424,5.1886272,3.743118,0.8696688,5.710762,4.2283154,6.082995,6.3078375,3.4173076,5.245509,2.7441912,0.67306125,2.9520245,4.269191,6.1430163,5.8178306,2.3869464,,,,,0.5768506,-1.8212858,4.2338696,3.6381736,3.7115874,5.121249,3.7745025,5.0649133,6.3513155,5.146497,6.4081817,5.037303,5.473321,2.7254293,0.42465022,4.03662,,,-0.9865402,5.4169693,4.188747,4.2178645,-1.1546315,2.3758807,1.6185474,3.5343964,3.1505103,-4.434528,5.996096,1.1310707,3.5544355,1.8053616,6.747978,5.2662444,5.202107,6.941486,4.7205105,4.4700947,2.8745542,2.6904442,,,6.339663,-1.5247525,1.2833853,3.188439,6.1764183,6.333818,2.7302155,5.932403,5.023433,6.393785,5.6210427,1.5407672,2.8548176,2.5097914,2.5532098,1.5374513,6.1992855,5.474284,-2.9944186,5.456591,3.2116528,6.225008,5.5058703,6.6415973,6.3207626,2.5395086,4.3117476,-0.31770846,3.3495038,-2.3699722,3.151189,3.9635873,-2.1806903,5.2153945,7.0714283,-0.3485999,6.435695,6.791805,1.6253794,4.054297,8.136093,2.363998,2.7314215,5.514525,5.1495214,4.202335,4.963024,2.0402305,6.1918707,3.988224,,
Becker,5.927797,3.0617864,4.784719,2.8163779,4.443441,5.975676,4.793436,0.49093378,-4.475146,6.6910987,1.4803047,0.31572357,-2.8144581,5.344202,4.1021996,4.972075,3.2227445,4.7268233,5.3819637,2.8233848,3.149398,4.5216417,3.978459,3.3475199,,2.7682827,2.4560041,1.6302186,4.2790804,-4.125372,5.810332,-0.36932883,2.0709312,6.6240296,5.423919,1.4388788,5.3729763,-5.3500075,2.373262,-0.595706,,5.5840774,2.226708,0.12799376,4.288904,-4.101558,3.0612996,5.8066072,6.111071,4.536347,4.3406377,5.5959373,5.567326,1.3988565,3.1463933,2.9969862,-2.788892,-5.0162897,4.02796,4.403434,5.923617,5.9937263,-2.542318,,,3.864603,0.007240916,4.9558644,4.613185,0.34437165,3.865231,3.30525,5.1017804,4.9207397,4.7014604,4.5569196,1.6106542,-0.6094805,1.000156,3.7267287,4.8924446,5.613686,-0.16139722,,,,,1.1287383,-1.7511162,4.3360324,1.6027187,4.9018497,2.6647732,3.8860512,4.161242,6.0060797,2.9784787,5.219077,2.8038363,6.014958,4.549183,2.3585143,0.06968925,,,0.0019840298,5.9175954,3.0999012,3.8718305,-2.390013,5.2890005,3.4535077,3.0767345,4.3434258,-3.6355839,5.192668,6.0018277,1.1012815,6.3679576,5.2562313,2.184291,4.36117,5.7759857,4.5398903,4.9861174,2.526902,0.9501679,,,5.8779397,-0.5926802,1.3174146,4.4310207,5.686851,5.8060966,5.1239767,5.8583107,4.4726996,5.902202,5.5431323,3.8675027,4.2060695,2.4082942,3.4151466,3.2312374,5.717404,5.7719874,-0.8012833,5.382451,1.9814672,5.3684325,5.624845,5.807076,4.070069,3.7509472,2.8852375,1.5681466,2.3692815,-3.4668365,-1.7354642,2.4573882,-3.3086805,5.446485,5.586495,-0.7938804,6.014958,5.54962,3.383908,2.821907,6.1553736,3.0503871,5.513009,5.4411325,5.655058,4.636781,4.5368996,2.8491125,4.5111732,5.386574,,
CHP-134,4.841917,3.3863688,5.0957623,2.2395673,1.6299889,2.2396028,0.8217296,0.21738906,-0.5548652,3.060999,-1.2690965,2.7282429,0.46913338,4.4958286,4.8833523,3.9074965,2.7972143,3.2477603,3.373228,3.6788104,,2.6281836,,0.061128654,,2.6799207,0.31317696,1.7424012,2.2948544,-4.329816,,1.8100234,1.0269206,6.6200857,4.594962,4.0271664,4.7370696,-5.752221,0.3127373,,,4.9024224,1.2061563,-1.4335763,1.9248753,-4.9547944,1.9261519,,3.185305,1.8292221,2.467767,4.808815,5.2559013,2.646476,,,-3.9578352,-5.937299,3.1373115,,,,,,,-0.464169,1.7400262,4.0712433,4.006304,2.1660717,,1.5751705,1.5774188,4.8345866,,2.5912812,-0.58461565,-2.7748363,0.32131243,,,,-0.82634497,,,,,1.5149391,2.5381296,3.989754,1.8160383,3.953619,0.98084736,3.4506888,3.7626488,5.1757283,5.01086,4.3983607,,,-1.115735,,,,,-1.7967469,5.1779194,2.3375404,-1.2780921,-1.6968251,,4.9070787,4.077756,,-5.68447,4.0143776,5.1931777,-0.648672,3.963619,3.9543414,3.1615636,3.1293008,3.972294,,2.712657,1.7129253,,,,4.7999363,-1.5328405,3.350549,3.546378,5.1225877,4.881963,0.7212904,,3.5476534,5.0852604,1.7547655,1.9960432,2.6914284,1.3650702,0.26856527,0.0037341458,,,,3.6873734,0.4757115,3.523059,2.0625253,3.4289649,,3.0582914,1.9344501,1.0567716,2.5115023,-4.493453,,0.70188504,-5.9610324,4.914743,3.0114202,-4.649854,,5.0115013,3.7287905,1.1969336,4.263887,1.3661522,2.5558288,2.5987337,4.3945336,4.128572,3.355056,4.4824395,4.9925933,,,
OCI-M1,2.2886763,1.1105096,3.3141356,2.7303147,1.4056616,1.8982743,-2.5831869,0.8477211,-2.6516933,2.957172,-0.7521051,-3.4560375,-4.00109,4.5615754,4.560043,2.8878748,-1.0128338,3.1916835,3.3819299,3.6995585,-1.0267885,2.7136617,1.2691321,1.0823694,,2.5462759,1.0081608,0.79328674,3.0975397,-5.40304,1.7229657,-1.1494406,0.7733095,3.4545054,4.4502616,2.4086564,3.1376739,-5.7518625,-0.45244646,0.30931365,,2.0125866,1.740723,-0.0684029,1.0595001,-3.840229,3.1064599,3.660261,3.855369,1.5763618,3.0960793,3.1533718,3.7252042,2.8873115,1.6517478,1.3236853,-4.435575,-5.6492157,2.7226377,1.4329042,3.6897593,4.560741,,,,-0.6908573,-1.0093492,2.4487627,3.0470984,1.4531145,2.6854658,1.6492504,2.9169078,2.2495794,2.706049,1.1747031,-0.9310696,-4.669705,0.3304164,3.139983,3.65481,4.2148705,-1.5350146,,,,,-0.2653664,-3.0776536,2.8883646,-1.0497204,3.5628831,0.49769455,2.5533798,3.084098,4.3806815,3.653784,0.9919961,-1.7160746,3.9421296,-0.607064,0.12124159,-2.730738,,,-0.9859666,4.98352,1.3577766,-2.7323422,-3.517801,3.3879585,1.7397753,-1.1746042,3.010179,-7.041479,4.378914,2.9567482,-3.1030397,3.1354816,3.283632,-0.6305903,3.0540347,3.4220228,1.7560778,0.62516063,1.0693235,,,,3.8108866,-2.823149,3.0419734,2.940267,4.32252,3.3769524,4.1869526,4.3252883,2.0351436,3.8968446,2.243892,3.0395296,1.0008737,1.6802913,0.7752512,-2.8404331,3.9028947,3.7490265,-0.02559232,1.9091904,-0.32791704,2.0845163,3.5204291,2.8421714,2.4591172,2.0583138,1.515482,-1.8494005,1.4099808,-5.3947177,-3.667589,0.53986984,-4.90884,-1.6916426,3.1893535,-3.17991,4.1538363,3.9536998,0.69649905,2.2474203,4.4530134,0.41234133,4.268782,4.3365407,3.7737107,4.1797223,1.244042,0.8802652,4.2616773,3.6230662,,
CP50-MEL-B,3.86767,3.023693,5.112534,1.8264762,1.8347416,2.6261559,4.84586,0.28763157,-1.7392479,2.2802317,3.2036955,-6.236916,-3.9984848,5.28616,5.3442035,4.010407,1.6326643,2.6973262,4.9226003,1.9616594,2.770496,5.632711,2.7797608,2.5725827,3.0662146,1.6842237,1.9092311,3.0416183,4.49373,-4.754145,1.8611038,,1.6130698,4.9588413,4.758477,1.844693,3.2917008,-4.75711,1.5429064,1.751192,5.044883,4.6949825,1.8664265,-0.27792186,,-5.394212,,3.8827512,4.1610622,4.501283,2.18025,4.2258434,4.099968,0.86381376,2.3460562,0.77162486,-2.0352669,,3.5922987,3.2029493,5.3118234,5.3260136,2.3529363,-4.32836,0.97674567,2.834933,0.09174285,3.3268769,5.061335,0.5791101,3.8824675,1.4721164,2.9650497,3.580632,2.9291809,4.0366755,1.4389964,1.3848418,1.2524446,,5.145765,5.2635927,3.9991238,2.4314542,2.338799,2.6229734,2.58104,,-4.085326,2.9283075,1.7372226,3.0315974,2.2138157,1.6563807,3.6259832,5.122433,4.6889477,3.7226639,2.8392224,,2.3994274,-3.3322673,-0.19927901,5.3442035,1.2001983,-0.4694294,5.0057616,3.7616808,3.5251892,-2.5276618,-0.39097032,-2.9262369,1.1475312,3.5747411,-5.719636,3.6643841,-4.3832064,0.13163723,-1.8205018,4.73353,3.332384,2.3784099,4.224073,5.3442035,1.5374047,2.976853,,4.869386,3.8040946,4.757071,-1.9885302,2.1792703,2.1272805,5.3093286,4.430368,1.7883424,4.817261,5.2931123,5.0961404,3.4242089,3.2392383,2.7565844,2.7098055,,,5.274371,5.342939,-2.4647207,4.0729585,3.1607053,5.0214987,5.0111275,3.312068,4.0535164,2.2179618,2.482022,-5.077799,1.7110999,-4.5487556,-3.0266469,2.968024,-2.0287173,5.337468,4.0930586,-0.51571465,2.0568087,3.8803003,-2.3978426,1.8493494,5.19933,1.9121808,5.3442035,3.2609367,4.6824837,2.8136384,3.516391,-0.27221498,2.832323,4.6851945,3.5677683,3.5697596
IST-MES1,4.322401,3.3326778,4.1190357,3.2080777,3.2426085,6.268681,5.2966805,0.8024839,-1.2817717,2.459365,4.8513155,1.5078499,-1.071354,6.170138,5.5504127,4.8144794,0.29488793,4.33442,3.8711045,3.7360713,3.1939578,5.9892488,3.5226398,3.0324893,,3.58972,2.792484,3.804911,4.545041,-0.10807061,4.346849,0.17466338,3.2651396,7.4506927,5.0538073,1.5327182,6.2215962,0.4515503,3.3732073,2.356236,,3.399986,1.2606964,2.4844508,4.486968,-2.9472482,4.0278287,5.19165,5.2056746,3.2701547,4.7826586,2.8477335,4.9432936,3.123473,4.8172765,2.25089,-2.2558105,-0.6137293,4.5651507,4.633932,4.5998917,6.2692585,-2.3575978,,,4.98746,1.2117082,3.2516785,5.732198,2.1049507,3.910455,2.394979,4.41883,4.2853284,3.6399627,4.356623,3.0176482,0.43938637,5.5819945,2.767236,3.9946868,6.194431,0.89650565,,,,,0.29320058,-2.0565634,3.8046029,0.019967316,4.2478676,3.6617453,3.1001177,3.9839518,6.07705,4.2696657,5.0703897,3.2400033,6.2692585,4.056489,2.52448,2.343181,,,-0.7948496,4.5294213,4.1945066,1.6754614,-0.72370577,5.5744157,4.973249,1.4138241,3.6392195,-3.1505857,5.78184,6.055952,3.8169844,4.2232575,3.4499867,5.4166093,3.4987373,4.4549417,3.5353723,5.0543246,3.9767501,2.0495574,,,6.093386,-0.9961549,4.266854,4.155932,4.165938,4.6236386,3.1090114,5.2311387,4.3382573,5.4298987,4.5991096,5.2221937,1.1488978,5.3076334,4.8294096,4.5638866,5.056321,6.2626944,1.3052742,6.6897964,3.470178,3.8665516,6.3066874,3.3103004,5.0779753,3.8209488,3.6459582,2.3063755,-1.026129,0.2702759,0.58013856,3.1233919,3.6944914,3.713945,2.9987566,-0.91541594,5.8182344,5.998432,2.833372,2.8371933,4.0523043,2.5502357,4.3863535,4.6178045,4.29778,3.4941506,2.1970477,4.3998814,5.7485595,6.258811,,
KP-4,5.0550566,2.9773827,3.503072,2.2360756,3.6209207,4.0779195,5.420415,-0.7906782,-0.7078805,5.1398945,3.3600414,0.6776227,-3.5973074,5.023672,5.100332,4.336235,2.7372506,3.909445,3.5138066,3.8513846,1.4511133,4.0175323,2.563621,2.3015637,,3.3022122,2.5433056,0.27430767,2.7652843,-3.623776,1.7157885,-0.5262349,1.6226441,6.130714,5.19619,1.1363891,4.958873,-5.5093627,2.315339,0.8580897,,3.0621452,2.5234005,-0.6332935,1.9235777,-6.2242665,2.7582912,4.721488,3.7851892,4.894826,3.378073,4.185183,4.9582767,3.1323228,3.135851,1.1932908,-3.2787445,-5.211107,3.5765615,3.5762036,5.1332793,5.198238,-4.212579,,,3.7677517,0.73708034,3.7388546,3.808932,1.6758075,2.7955744,1.6829568,3.5215535,4.3491755,3.3122103,5.114622,0.22942582,-3.2409406,0.96917546,2.9686594,4.6683283,4.466157,1.5613744,,,,,1.4964491,-3.2794433,3.5123289,0.9834851,4.775877,1.8048807,4.6410403,3.7487526,4.6962132,4.4886775,5.1059275,2.2667243,5.198238,3.079826,2.1801963,-0.7460664,,,-0.7340491,4.806509,4.501416,-0.86615086,-2.4235168,4.504871,3.2052476,3.1723156,3.8218236,-4.3275385,4.832142,5.18434,-1.1635667,4.441535,3.8721836,4.2228174,4.2690964,3.966384,3.6868122,4.0819526,1.7022166,-0.5523143,,,4.555419,-0.38470095,3.3521552,4.5959015,4.5726576,5.1037097,4.552741,5.12923,3.3387892,5.0858774,4.348467,2.174091,4.105564,2.9248295,3.0789652,1.182188,4.3329062,5.10184,-2.9133208,3.0107052,2.3751092,4.253858,5.366511,4.2854843,2.4350235,3.3497515,2.4279728,1.3666993,2.248687,-4.8355474,-4.266692,1.4667286,-4.7016993,5.4196377,4.72319,-1.7583269,5.198238,5.4703164,2.700101,2.8646944,4.758098,5.1109524,4.2831383,5.178917,5.1042223,4.269426,3.737152,3.104227,5.1873245,5.0264535,,
MEL-HO,4.2667685,2.4551551,4.3478227,2.1320975,1.6670403,3.1688108,4.117404,0.8615937,-2.9071698,2.817719,3.516733,-5.003693,-1.2100265,5.4773116,5.588441,3.5567968,2.162751,2.2724133,5.2382627,1.4010593,1.0940124,5.751696,3.204277,3.7321,4.4602284,0.9447451,1.1048204,3.2858558,4.0093827,-2.4051695,1.7759933,,2.766784,4.954786,3.3549533,1.6523472,2.8567536,-4.138069,0.42002833,-0.8682146,5.2859488,5.3280444,2.0352154,1.317913,,-1.4811753,,3.324628,3.7088852,4.680373,3.3094702,4.276104,3.625786,1.4493954,1.3326539,2.346415,-1.1895632,,3.2669194,3.9397385,5.5843883,5.316197,-2.5255628,1.0151638,2.8857439,2.0343251,0.25418496,3.4638963,4.2748647,0.687292,3.8566597,2.4461231,3.9255226,5.0064707,2.3946211,4.1364503,3.4908905,1.2310718,2.030529,,3.7258017,4.30285,1.6588845,2.6223786,2.1373124,2.7807386,4.267101,,-3.5101347,3.2803102,3.972751,3.6748898,1.9778441,1.8169757,4.128776,5.492038,4.254039,3.7111638,2.3655891,,1.4817133,-1.9858303,0.9033804,5.588441,1.3385816,0.53405935,3.6434875,4.2618446,4.045629,-2.508804,-0.23280598,-1.3544787,3.7520652,4.538107,-4.671841,5.2373695,-2.6183846,0.7318589,-0.42665225,4.2931037,3.1731625,3.6723714,4.6540127,4.2818093,1.8275801,3.2214656,,3.703563,4.009959,2.7169662,-1.2546563,1.6736977,2.4892566,5.5820966,5.0202756,3.329857,3.6509614,4.0298257,5.5841527,1.9968168,2.3847198,2.0129893,3.097131,,,5.5557623,5.3613605,1.3702878,5.8046737,2.5392065,4.369261,5.588441,2.919643,3.42546,1.0131617,3.1467617,-3.6911736,2.8587687,-2.181395,0.8852029,2.9707608,-1.3834312,5.2281795,5.1326265,-0.55256003,2.9778721,5.0476294,-1.604676,2.9062486,5.038538,0.2837191,4.7092013,2.8179338,4.3823,4.2987037,2.4367018,0.5043397,3.6638875,5.588441,4.0189753,3.443663
NB12,,-5.1850963,4.3917036,3.011083,-0.62429065,3.7139275,-2.4624166,-0.517138,-0.8802362,,2.792421,2.857402,-1.5227492,,,,,5.2895846,,2.1849554,3.4321477,3.2221258,3.1454508,2.1889372,,-0.10528168,0.8838351,3.4321477,2.5735056,-3.5733125,,1.1738814,1.3208419,6.834455,,1.496664,,-4.44477,1.0358942,0.7534282,,,1.413654,-0.08095017,1.6950941,-4.338734,3.548737,4.999316,5.4551897,,,,5.148912,-0.6247817,,,-2.6164582,-2.9132175,3.3952446,3.9356213,5.4863095,5.04969,-5.0028296,,,-5.108391,-0.9961927,3.9093535,5.0812087,0.47197083,,1.2329527,4.3480377,3.5413022,1.9758486,3.225933,0.93177944,0.98453224,2.8547957,2.8473015,4.8329697,5.365075,2.1364417,,,,,0.5956771,,3.037488,,0.09190665,2.012276,,3.0869563,,4.618372,5.559764,2.1195917,5.082284,-3.0979745,3.795108,-0.83261395,,,,3.6419365,4.178691,-2.10392,-1.225381,,4.575488,-1.4126368,3.8407571,-4.1676726,4.0720706,4.894989,-0.4504396,2.8306513,3.9628847,,,,,2.7044904,1.3681669,0.18967615,,,,-1.443769,1.6974876,1.3560644,3.0185142,4.233057,2.0298557,,2.5273383,5.180825,3.0118454,,,2.3391716,3.5921476,3.664441,5.443293,5.568431,1.3901466,,2.5245097,5.3623857,5.702233,4.296531,3.206286,0.74197876,4.346767,2.5831797,3.8426664,-0.5296912,0.041711397,2.3439543,-5.008078,,0.6756444,0.03109006,4.900535,5.662666,4.67731,,,,,,,,2.5613794,4.6505938,5.5154734,4.5986137,,
NOS-1,3.2488837,0.98777527,3.7928376,2.791013,0.36690095,3.783681,2.1898785,-0.7053079,-1.1978331,5.7598543,5.1779814,0.3743963,-2.9007049,3.853538,5.2841663,3.6671424,0.8621286,3.213794,3.7879205,3.6149688,-1.870568,3.8355882,2.7233286,1.0446066,,2.6713977,0.77670366,1.2243422,3.219939,-2.30265,3.9843528,-0.36873886,1.8629247,6.324093,4.1818933,1.6097137,3.4267964,-0.36957482,0.8216216,2.1288571,,2.9276106,0.5469024,1.5843496,1.6736982,-4.5377636,3.4339347,4.2843156,6.2189894,3.749578,2.7861805,4.9800897,2.975637,0.8277053,1.6113526,1.5463347,0.28766972,-2.4418495,2.742141,2.0772111,4.7673497,5.285905,,,,-0.14678128,-0.3838291,1.966656,4.622485,-0.13236661,1.1295375,1.9528221,5.3904786,3.041896,3.6866856,1.393179,0.03121082,3.9835777,3.9076738,5.4084635,4.677806,4.414287,-1.3086427,,,,,-0.13747135,-3.2540767,3.6082191,2.4922934,2.0977538,2.7928298,1.4915197,3.0830142,5.240331,4.140318,1.3034785,2.4587798,5.272638,0.31534678,3.2244244,1.2570504,,,-1.7868311,4.37213,2.2596889,2.0338273,-2.1462183,4.3434286,3.611798,0.5052068,4.454293,-3.904343,5.114919,4.9293156,2.3513825,2.4804056,2.9284687,1.8676101,1.5754768,3.6327045,2.790436,1.5129135,0.9262983,,,,3.4315083,-0.730092,1.9629203,2.9183378,4.785996,4.581987,4.616327,4.186671,2.617802,4.91686,2.1245239,1.6156969,2.506184,1.7969816,5.164465,3.6403637,4.881437,5.2198133,1.8827752,3.999499,1.0861071,3.298611,5.0596232,1.934098,2.6369128,1.3144653,2.4620178,2.7821534,-1.4758745,-1.0089148,1.2776208,5.264263,2.853113,5.280265,2.0038157,-0.18878804,4.271191,5.453783,2.6064494,2.9667969,5.241326,1.1016984,2.3408403,3.2014327,4.7394843,1.8649595,2.003573,2.481054,4.9929733,3.5972304,,
AU565,2.007538,3.1760006,4.403131,1.9408274,2.1958554,4.5608606,2.8394094,1.0758718,-5.1786194,3.0234826,2.7965388,3.351415,-1.8471135,5.2763395,5.363296,4.083617,5.364747,3.7726345,3.1081448,0.7392353,-2.470854,4.460234,3.2006054,3.2746186,,1.3521243,-1.0172176,2.6843135,4.651537,-5.073178,2.3202124,-0.6184531,3.053697,7.155079,4.248095,1.0569556,-0.54174125,-5.2796445,0.60831165,0.80430764,,3.8056917,1.8263375,1.4839816,2.8353746,-3.302991,2.6406884,4.92651,2.7979774,4.5597043,2.2512205,4.2481337,0.45263565,1.6762813,1.8769633,1.2988166,-2.834675,-2.7201843,1.1403023,2.1091447,4.38085,5.3618026,,,4.322451,2.6614175,-0.16952728,3.335398,3.7979605,0.19994265,3.696717,3.079467,5.531676,2.5842474,2.7866158,1.9485801,1.6396102,-2.7337644,2.9125981,4.963998,4.6536274,4.88385,0.33006224,3.3336282,,,,0.7282224,-3.203558,3.502843,1.6550725,2.1400573,2.0626237,4.379475,3.4957225,5.1429515,2.151563,3.1522813,4.074715,5.364747,1.9058865,3.8957348,0.43739367,,,0.8925646,3.9095144,2.0557957,2.659304,-1.6482462,3.7571952,5.3413315,2.4398274,4.1544256,-5.396155,4.965866,4.48031,2.4436405,4.730618,3.5895355,2.999995,3.1828692,4.99633,4.456588,1.8038118,-1.5339737,,,,4.796729,-1.3764201,1.8952187,2.3990057,3.981073,5.2254953,4.416541,2.3791776,2.9075584,4.9974875,-0.86654377,1.7441183,5.3546762,1.8022978,2.9296458,1.7464002,5.3605375,4.9702816,-0.186915,3.148681,2.96438,3.6720762,4.741986,3.6358817,2.5636053,1.7044864,3.2083564,3.535307,3.062118,-4.9357986,,2.4236279,-3.6400898,4.5506926,2.5594482,-1.4174443,4.1062117,4.9011183,2.8381784,2.0850575,5.213377,0.39971906,3.2027946,3.7375135,5.364747,3.6458588,3.147118,3.3652587,4.878596,3.8157039,4.6661315,3.63145
NUGC-4,7.2288394,4.9912047,6.1033287,1.10564,6.165106,7.1331134,7.25064,3.0952177,-0.57721263,7.1187897,5.282172,-0.9481883,1.695551,5.556429,7.125928,6.5971465,1.2445436,5.662377,5.492737,5.6148367,-0.67011154,6.3762703,2.7622213,5.486191,,5.8724566,1.3150265,2.031275,5.9212813,-1.4159349,4.347777,3.407619,6.8590474,8.242873,7.265393,6.2362127,2.5428874,-0.3689138,0.8879451,1.21805,,6.334276,1.4620256,3.0329263,7.1745853,-1.3457655,5.4763494,8.076846,7.37828,4.887877,5.146351,7.249553,1.8229033,3.3215466,2.01781,3.371604,-0.014391358,2.2396142,3.8791652,5.605141,7.107947,7.2619114,,,,2.8735452,3.260179,4.6597595,6.469275,2.7827976,7.2380815,5.255251,5.6896334,7.271925,6.037094,2.5254264,2.7318015,4.577895,5.650433,6.1169806,7.24601,7.217262,4.363313,,,,,3.737822,-0.23395728,5.5085,5.20694,4.655177,6.4447174,3.183721,5.908181,6.551811,6.07231,5.773371,1.7237065,7.0843863,3.6143343,1.6580278,1.8280883,,,0.48895156,4.51317,3.8186674,5.7900815,2.1401052,5.056458,1.6563727,7.238901,5.878463,-3.6781182,7.311265,7.2610493,4.534564,7.620562,6.699065,4.4186406,4.4693437,5.185423,3.8643045,6.3454556,0.5140026,,,,4.2530704,-0.018418064,5.53534,5.151317,5.1296134,7.100924,5.2885656,7.10827,6.542399,6.0131063,2.7609699,2.1784902,2.460814,2.6428635,5.828483,5.6514444,7.2190204,6.300185,1.9814152,5.495586,4.038226,3.3196754,6.7688932,6.967788,5.2647734,5.8241134,5.279965,0.08875019,3.1427147,1.4266655,0.49404958,5.628491,4.715227,6.737157,8.413103,1.0235945,6.916758,7.372375,0.51875526,4.830665,8.4497595,1.159463,4.824271,6.663095,4.469842,4.3190722,5.847672,3.6589954,6.936156,6.052991,,
HCC1143,5.073838,4.156547,4.664683,1.8611873,1.5144676,4.2779717,1.3101045,1.2912987,-2.0427537,5.271335,3.7979605,-0.27061328,-2.0514698,6.0740695,6.159987,5.6408916,5.994653,4.1245174,5.7859845,4.005381,1.7315042,5.3106356,2.7097447,3.458619,,3.0682693,1.0473899,2.67328,3.2549188,-0.69744736,3.2088811,2.8039742,2.8197956,7.7834716,5.6563053,2.7242186,3.8282793,-2.3943415,1.6436217,1.8873404,,5.0770316,3.3468041,1.3398159,2.5351522,-2.3458893,3.5499072,4.846344,5.097802,5.770459,5.15735,3.819537,2.1165094,1.7369292,3.066885,2.9538171,0.63891447,1.3483752,2.8350403,4.5240808,6.5546036,6.194466,,,3.2080529,1.4049662,0.012081458,2.1474974,4.839417,0.8620552,4.2435884,4.505019,5.96196,5.419357,4.5233397,2.0648465,0.7319379,3.097886,2.921186,5.2674923,6.178113,5.5588255,-1.5877496,4.140221,,,,1.9964029,-2.4797149,4.5009804,4.1298523,2.8297997,1.6698136,3.2864764,3.669589,5.7867007,5.7780905,2.0043218,3.1228316,6.1794534,1.5929518,1.2632439,1.7584224,,,1.235607,5.028995,3.3855796,3.0521424,-2.6969619,5.494689,3.3802137,0.7738624,5.070128,-4.1855526,5.632609,5.7332535,4.8549294,4.458378,4.3892965,-0.015149176,5.30385,5.819417,4.34378,4.0408244,1.7757534,,,,5.678569,-0.7921078,2.0878975,2.9954903,5.499921,5.300266,6.153201,5.8636312,3.5186975,5.573121,2.0227828,1.7650294,5.4456296,2.7791164,5.757688,3.8003428,5.8703938,5.0432177,1.0307541,4.2810993,0.80256844,6.2205753,6.6476784,4.7937827,3.8515987,3.5733008,4.7648864,0.615299,0.8488689,-2.6683772,-0.53659314,3.6444461,4.0438943,6.050417,3.332631,1.4476107,6.396522,6.2659144,2.4153366,3.4294019,5.144489,1.5901933,5.406355,5.3614516,6.1162553,4.0843625,3.8596556,4.069663,5.070771,4.891868,4.4140744,4.8825197
